49,11,35,22,1,40,5,46,32,31,6,48,37,39,27,45,41,42,30,2,36,33,23,19,47,28,26,14,3,24,34,25,43,38,20,16,10,21,44,15,9,7,12,18,13,4,0,50,8,17,29
10,0,32,26,20,9,43,38,13,34,11,40,35,37,21,27,44,6,2,23,18,29,41,45,28,4,19,24,3,8,1,39,7,47,16,33,49,5,50,22,36,48,14,30,31,15,46,25,17,42,12
42,44,0,35,29,22,16,36,18,11,20,13,47,45,37,43,50,30,34,41,25,46,10,48,26,38,5,2,14,4,17,27,24,8,49,32,39,40,12,19,9,33,6,1,31,7,15,21,23,3,28
47,11,46,4,19,25,15,41,21,29,32,8,40,39,14,23,12,28,20,48,1,43,0,34,3,31,35,30,18,16,42,13,50,26,6,33,38,17,37,22,9,2,45,44,49,27,36,5,7,10,24
46,31,10,14,7,35,38,3,13,50,16,0,5,44,6,24,20,43,21,9,15,26,28,32,39,42,11,36,17,41,49,40,37,18,23,1,8,2,33,19,48,47,45,34,22,4,25,29,27,30,12
44,16,9,27,1,26,45,50,31,49,34,3,37,15,46,41,2,17,24,19,23,18,47,38,43,7,0,13,36,22,33,11,8,30,6,39,5,14,21,28,10,32,42,25,40,29,20,12,4,35,48
30,24,9,43,45,39,48,12,49,40,7,15,16,21,50,33,6,29,1,47,28,31,17,42,32,25,4,46,22,10,18,36,19,27,14,8,34,5,26,3,0,11,13,20,23,37,41,38,2,44,35
37,4,7,47,42,31,50,17,48,20,19,15,33,8,45,30,0,36,13,43,23,35,41,49,46,29,6,10,14,32,12,40,16,5,3,28,34,38,2,26,18,24,21,27,25,39,22,11,9,1,44
38,12,33,2,4,45,0,7,20,29,42,47,43,3,5,14,48,11,1,39,8,18,28,46,44,25,13,10,17,32,31,50,15,26,9,49,34,24,41,21,19,35,16,23,37,30,22,27,6,36,40
38,25,37,8,22,48,32,5,42,4,2,19,50,14,45,13,18,30,44,31,36,15,1,9,7,10,49,40,17,23,6,21,20,41,11,43,39,24,35,0,16,28,46,3,29,26,27,33,12,34,47
48,20,42,19,35,45,21,15,8,31,30,44,18,26,34,9,47,41,38,23,49,7,6,25,10,12,3,29,5,32,17,22,13,43,40,28,4,1,27,24,14,50,37,33,46,36,2,11,16,0,39
6,28,0,45,21,25,33,1,9,13,36,17,44,35,2,37,15,11,47,49,14,38,29,7,30,4,5,12,8,23,16,22,27,46,32,50,41,3,39,18,31,42,48,43,26,34,40,24,10,20,19
